rank,song,artist,year,song_id,word,sentiment_afinn,sentiment_bing,sentiment_nrc
77,keep on keepin on,mc lyte featuring xscape,1996,2960,afraid,-2,negative,negative
100,dont cry,seal,1996,2983,afraid,-2,negative,fear
100,dont cry,seal,1996,2983,afraid,-2,negative,negative
16,nobody,keith sweat,1997,2997,afraid,-2,negative,fear
16,nobody,keith sweat,1997,2997,afraid,-2,negative,negative
18,the first night,monica,1998,3092,afraid,-2,negative,fear
18,the first night,monica,1998,3092,afraid,-2,negative,negative
30,a song for mama,boyz ii men,1998,3103,afraid,-2,negative,fear
30,a song for mama,boyz ii men,1998,3103,afraid,-2,negative,negative
45,say it,voices of theory,1998,3118,afraid,-2,negative,fear
45,say it,voices of theory,1998,3118,afraid,-2,negative,negative
80,dangerous,busta rhymes,1998,3150,afraid,-2,negative,fear
80,dangerous,busta rhymes,1998,3150,afraid,-2,negative,negative
80,dangerous,busta rhymes,1998,3150,afraid,-2,negative,fear
80,dangerous,busta rhymes,1998,3150,afraid,-2,negative,negative
80,dangerous,busta rhymes,1998,3150,afraid,-2,negative,fear
80,dangerous,busta rhymes,1998,3150,afraid,-2,negative,negative
76,almost doesnt count,brandy,1999,3243,afraid,-2,negative,fear
76,almost doesnt count,brandy,1999,3243,afraid,-2,negative,negative
92,stay the same,joey mcintyre,1999,3259,afraid,-2,negative,fear
92,stay the same,joey mcintyre,1999,3259,afraid,-2,negative,negative
99,when you believe,whitney houston and mariah carey,1999,3265,afraid,-2,negative,fear
99,when you believe,whitney houston and mariah carey,1999,3265,afraid,-2,negative,negative
72,the jock jam,various artists,1997,3049,aggressive,-2,negative,anger
72,the jock jam,various artists,1997,3049,aggressive,-2,negative,fear
72,the jock jam,various artists,1997,3049,aggressive,-2,negative,negative
72,the jock jam,various artists,1997,3049,aggressive,-2,negative,anger
72,the jock jam,various artists,1997,3049,aggressive,-2,negative,fear
72,the jock jam,various artists,1997,3049,aggressive,-2,negative,negative
72,the jock jam,various artists,1997,3049,aggressive,-2,negative,anger
72,the jock jam,various artists,1997,3049,aggressive,-2,negative,fear
72,the jock jam,various artists,1997,3049,aggressive,-2,negative,negative
72,the jock jam,various artists,1997,3049,aggressive,-2,negative,anger
72,the jock jam,various artists,1997,3049,aggressive,-2,negative,fear
72,the jock jam,various artists,1997,3049,aggressive,-2,negative,negative
14,opposites attract,paula abdul and the wild pair,1990,2336,agree,1,NA,positive
14,black or white,michael jackson,1992,2526,agree,1,NA,positive
98,lets get rocked,def leppard,1992,2606,agree,1,NA,positive
54,one last cry,brian mcknight,1993,2661,agree,1,NA,positive
81,flava in ya ear,craig mack,1994,2779,agree,1,NA,positive
25,who will save your soul,jewel,1996,2914,agree,1,NA,positive
89,do for love,2pac featuring eric williams,1998,3158,alarmed,-2,negative,NA
6,vision of love,mariah carey,1990,2328,alienation,-2,negative,anger
6,vision of love,mariah carey,1990,2328,alienation,-2,negative,disgust
6,vision of love,mariah carey,1990,2328,alienation,-2,negative,fear
6,vision of love,mariah carey,1990,2328,alienation,-2,negative,negative
6,vision of love,mariah carey,1990,2328,alienation,-2,negative,sadness
6,vision of love,mariah carey,1990,2328,alive,1,NA,anticipation
6,vision of love,mariah carey,1990,2328,alive,1,NA,joy
6,vision of love,mariah carey,1990,2328,alive,1,NA,positive
6,vision of love,mariah carey,1990,2328,alive,1,NA,trust
34,dangerous,roxette,1990,2356,alive,1,NA,anticipation
34,dangerous,roxette,1990,2356,alive,1,NA,joy
